id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,28,16,2019-12-21,0.29,1,39
5506,**$79 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32981,-71.09559,Entire home/apt,145,3,106,2019-10-31,0.8,6,316
6695,$99 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.32994,-71.09351,Entire home/apt,169,3,115,2019-11-2,0.9,6,262
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35919,-71.06265,Entire home/apt,99,32,24,2019-9-30,0.36,8,215
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.3584,-71.06185,Entire home/apt,150,91,31,2019-12-1,0.24,8,273
10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",38997,Michelle,,Back Bay,42.34973,-71.08792,Entire home/apt,84,90,9,2019-7-22,0.18,9,364
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.34961,-71.08904,Entire home/apt,179,33,80,2020-2-1,2.92,9,0
10986,Waterfront/North End Furnished Large Studio Apt,38997,Michelle,,North End,42.36352,-71.05075,Entire home/apt,125,91,2,2016-5-23,0.04,9,364
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,154,32,52,2019-10-5,0.44,35,363
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34496,-71.07486,Private room,148,2,316,2019-12-13,3.04,5,25
24240,"The Golden Slipper B&B Afloat, 2 bed/2 bath",97821,Gretchen,,North End,42.36366,-71.05023,Entire home/apt,275,2,103,2019-10-3,0.91,1,223
27611,One Bedroom Studio Garden Apartment,119381,Gordon And Alexandra,,Jamaica Plain,42.31557,-71.11483,Entire home/apt,185,3,18,2019-10-23,0.26,1,356
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,221,2,93,2018-10-21,0.79,3,220
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.3151,-71.11108,Private room,95,6,75,2019-11-4,0.65,1,165
44205,Elegance at Salem Street Court,128280,Elizabeth,,Charlestown,42.37751,-71.06636,Entire home/apt,184,2,82,2019-4-16,0.71,3,235
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37404,-71.06118,Entire home/apt,125,3,130,2019-12-10,1.13,1,86
60356,Bright 1bd facing Boston Common,26988,Anne,,Downtown,42.35712,-71.0618,Entire home/apt,175,32,18,2018-11-5,0.24,8,187
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37853,-71.06177,Private room,140,2,54,2019-11-2,0.53,1,359
91588,Sunny Private Bedroom. 7 minute walk to Redline T.,494453,Dave,,Dorchester,42.31258,-71.04813,Private room,68,1,240,2019-12-27,2.26,1,278
95453,Royal Street Studio: Allston,508268,Richard,,Allston,42.35937,-71.13156,Entire home/apt,175,5,41,2019-10-13,0.38,1,351
163941,$99* SPECIAL* 2 bed ApT! Location!,8229,Terry,,Roxbury,42.32965,-71.09503,Entire home/apt,225,3,228,2019-12-30,2.21,6,149
169430,Stylish + Comfortable Urban Victorian,807320,Kate,,Roxbury,42.32158,-71.09047,Entire home/apt,200,2,147,2019-11-3,1.42,1,14
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.31039,-71.06907,Entire home/apt,55,7,67,2019-12-23,0.65,1,196
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.3132,-71.11832,Private room,65,30,43,2019-12-28,0.42,1,87
197972,Perfect Location--Super Studio!,965697,Chris & Kristina,,Jamaica Plain,42.31732,-71.10834,Entire home/apt,90,2,387,2019-12-27,3.82,2,178
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31864,-71.10641,Entire home/apt,100,3,191,2019-11-22,1.86,1,211
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36539,-71.05438,Private room,95,3,250,2019-11-13,2.45,1,77
225224,4th floor office room,85770,Robert,,South End,42.34643,-71.07503,Private room,105,2,317,2019-12-5,3.13,5,85
257588,BOSTON LUXURY FOR LESS!!! NEAR BCEC,1355344,Meri,,South Boston,42.33066,-71.03984,Entire home/apt,200,2,325,2020-1-26,3.53,1,199
276450,19th Century Luxury | South End | 1BR 1BA #3,814298,Thatch,,Roxbury,42.33814,-71.08001,Entire home/apt,167,29,92,2019-10-28,0.97,90,202
295285,"Single Bedroom, Quiet Neighborhood",1271326,Tom,,West Roxbury,42.28719,-71.16816,Private room,80,1,29,2020-1-31,0.35,1,252
315982,Beautiful Two BR & Two Bathroom Townhouse,119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,196,29,280,2020-2-8,3.23,1,0
318050,"South End Room on park by T, Prudential & Back Bay",1632478,Thiago & Niles,,South End,42.3398,-71.07853,Private room,99,2,313,2019-12-31,3.22,1,7
322593,Rent for at least 28 days! Heart of SouthEnd,1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,350,28,406,2020-1-6,4.84,4,181
349347,Experience Past|Enjoy Present|South End Studio #2,814298,Thatch,,Roxbury,42.33824,-71.08172,Entire home/apt,167,29,111,2019-9-19,1.18,90,160
349409,Family Home in Great Area,1770277,Genevieve,,Jamaica Plain,42.32443,-71.10652,Entire home/apt,250,5,5,2015-8-24,0.05,1,0
400067,Private Room in Spacious Apartment1,1997048,ToRena,,Dorchester,42.30088,-71.0819,Private room,60,91,24,2019-10-7,0.3,4,348
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,71,3,312,2019-12-23,3.35,1,246
475254,Spectacular Boston Townhouse in Heart of Boston,2355815,Francine,,Bay Village,42.34846,-71.0681,Entire home/apt,500,91,16,2020-2-3,0.38,1,0
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.3092,-71.11836,Private room,200,2,16,2016-6-26,0.2,1,0
519272,"Cozy Room + Private Bath, JP Boston",2444900,David,,Jamaica Plain,42.30511,-71.10643,Private room,62,3,9,2016-5-31,0.13,1,0
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,Robert,,South End,42.34523,-71.07282,Private room,148,2,175,2019-10-31,1.88,5,84
530983,The Grand View | 5BR 2BA | Victorian Home,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,180,32,67,2019-10-29,0.76,35,227
533114,The Sawyer | 2BR 2.5BA | 1st Floor,71783,Lance,,Dorchester,42.3122,-71.0611,Entire home/apt,154,32,53,2019-9-5,0.59,35,318
533152,The Penthouse | 2BR 1BA | 4th Floor,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,128,32,54,2019-6-13,0.76,35,348
561769,The Sky View | 3BR 1BA | 3rd Floor,71783,Lance,,Dorchester,42.31371,-71.06126,Entire home/apt,103,29,59,2019-9-2,0.65,35,256
568234,City's Hippest Location/Two Bedrooms,2796082,Margaret,,Jamaica Plain,42.3036,-71.10539,Private room,95,1,269,2020-1-12,2.91,2,307
570493,"2 Bedrms, 2 Priv Bath&Priv Entrance",914630,Bill,,Dorchester,42.28847,-71.05477,Private room,152,3,94,2019-10-27,1.19,1,84
579605,The Mayhew | 2BR 1BA | 3rd Floor,71783,Lance,,Dorchester,42.32212,-71.06095,Entire home/apt,128,32,51,2020-1-6,0.56,35,347
583255,"Boston Beauty, Walk to C and B line",306407,Valery,,Brighton,42.34171,-71.14851,Entire home/apt,149,3,20,2019-2-9,0.38,1,0
601763,The Alameda 2 | 2BR 1BA | Brookline Area,71783,Lance,,West Roxbury,42.29192,-71.15407,Entire home/apt,131,32,37,2019-8-27,1.06,35,273
611081,Houseboat in Boston Harbor,3029783,Deborah,,Charlestown,42.37579,-71.04981,Entire home/apt,325,2,35,2019-10-28,0.84,3,321
619142, Getaway in Historic Charlestown,501427,Joe,,Charlestown,42.37808,-71.06343,Entire home/apt,175,3,168,2019-10-25,1.84,1,187
646087,1 Bed in Charming Southie Townhouse near BCEC,3236611,Ingrid,,South Boston,42.33477,-71.04995,Private room,188,1,7,2019-6-13,0.16,1,173
658029,Trendy Fun Spot|Historic South End |1BR 1BA #1,814298,Thatch,,Roxbury,42.33923,-71.08141,Entire home/apt,163,91,117,2019-9-16,1.3,90,212
708802,Boston / Charlestown Apartment,3648427,Gerard  And Marie,,Charlestown,42.37755,-71.0628,Entire home/apt,100,2,374,2020-1-31,4.19,1,244
713627,"Retro Cool Artist's House, Parking",3581975,Rachel,,Jamaica Plain,42.30957,-71.10629,Entire home/apt,135,5,1,2014-10-9,0.02,1,0
743211,Unique Find: At Home in the City!,2796082,Margaret,,Jamaica Plain,42.30581,-71.1126,Entire home/apt,550,3,74,2020-1-14,0.88,2,0
743759,Cozy Room & Bathroom: No Kitchen,7969,Carolyn,,Roslindale,42.29424,-71.13183,Private room,25,90,5,2019-9-30,0.06,2,357
750438,"Private room, 7 min to subway, verdant & peaceful",3945438,Lisa,,Jamaica Plain,42.30733,-71.11129,Private room,65,2,199,2020-2-3,2.44,2,75
753446,6 miles away from downtown Boston!,3962517,Sami,,Roslindale,42.28588,-71.12491,Private room,50,2,142,2019-7-27,2.63,1,355
771309,Room for rent in shared apartment,239850,Theodore,,Dorchester,42.30805,-71.04966,Private room,59,91,2,2019-9-19,0.03,1,164
798957,‚ò?-Story‚òÖWalkScore95 ‚ò?1200ft¬≤ ‚ò?2 Baths,1651480,Edward,,South End,42.34232,-71.07594,Entire home/apt,347,3,408,2020-2-9,4.95,4,62
801680,*$89 Special!  BOSTONS BEST!!* Minutes to Center*,8229,Terry,,Roxbury,42.32852,-71.09539,Entire home/apt,169,3,55,2020-1-20,0.63,6,136
